

                                                                                 
                                                                                 


 Solution Properties:

 Integral  (#/cc)                        =        0.1540D+04
 Log-mean particle diameter (microns)    =        0.9689D+01
 Geometric standard deviation            =        0.7418D+01
 Integral of (f''(x))^2                  =        0.2149D+08


 Smoothing parameter (CGCV)              =        0.3275D-10
 Tolerance used to find target (tol(2))  =        0.2500D+00
 Smoothing choice functional             =        0.5041D+00
 Quadratic functional                    =        0.6103D+00
 Interval of kernel function variance    =      ( 0.2558D+01, 0.4947D+03)
 Dimension of solution vector            =               201

 Lower interval diameter (microns)       =        0.2500D+01

 Upper interval diameter (microns)       =        0.1000D+04


 Number distribution and volume distribution:

 0.3401D+03                   0.2028D+02                    0.4177D+09
 0.3505D+03                   0.2452D+02                    0.5527D+09
 0.3611D+03                   0.2932D+02                    0.7230D+09
 0.3721D+03                   0.3471D+02                    0.9362D+09
 0.3834D+03                   0.4070D+02                    0.1201D+10
 0.3951D+03                   0.4734D+02                    0.1529D+10
 0.4071D+03                   0.5464D+02                    0.1930D+10
 0.4195D+03                   0.6263D+02                    0.2420D+10
 0.4322D+03                   0.7133D+02                    0.3016D+10
 0.4454D+03                   0.8077D+02                    0.3736D+10
 0.4589D+03                   0.9095D+02                    0.4602D+10
 0.4729D+03                   0.1019D+03                    0.5641D+10
 0.4873D+03                   0.1136D+03                    0.6882D+10
 0.5021D+03                   0.1262D+03                    0.8360D+10
 0.5173D+03                   0.1395D+03                    0.1011D+11
 0.5331D+03                   0.1537D+03                    0.1219D+11
 0.5493D+03                   0.1686D+03                    0.1463D+11
 0.5660D+03                   0.1845D+03                    0.1751D+11
 0.5832D+03                   0.2012D+03                    0.2089D+11
 0.6009D+03                   0.2187D+03                    0.2485D+11
 0.6192D+03                   0.2371D+03                    0.2947D+11
 0.6380D+03                   0.2564D+03                    0.3487D+11
 0.6574D+03                   0.2765D+03                    0.4114D+11
 0.6774D+03                   0.2975D+03                    0.4843D+11
 0.6980D+03                   0.3194D+03                    0.5688D+11
 0.7193D+03                   0.3422D+03                    0.6667D+11
 0.7411D+03                   0.3658D+03                    0.7798D+11
 0.7637D+03                   0.3904D+03                    0.9103D+11
 0.7869D+03                   0.4158D+03                    0.1061D+12
 0.8108D+03                   0.4421D+03                    0.1234D+12
 0.8355D+03                   0.4693D+03                    0.1433D+12
 0.8609D+03                   0.4973D+03                    0.1661D+12
 0.8871D+03                   0.5263D+03                    0.1924D+12
 0.9140D+03                   0.5561D+03                    0.2224D+12
 0.9418D+03                   0.5869D+03                    0.2567D+12
 0.9705D+03                   0.6185D+03                    0.2960D+12
 0.1000D+04                   0.6510D+03                    0.3409D+12


 Instrument readings:



 Instrument: UCNC    

 Channel Input data  inverted data   rsdiff.      lower bound  upper bound
    1     0.244E+01    0.179E+01    0.413E+00                            
    2     0.256E+01    0.188E+01    0.428E+00                            
    3     0.184E+01    0.197E+01   -0.989E-01                            
    4     0.269E+01    0.207E+01    0.379E+00                            
    5     0.261E+01    0.217E+01    0.269E+00                            
    6     0.214E+01    0.228E+01   -0.993E-01                            
    7     0.273E+01    0.240E+01    0.204E+00                            
    8     0.321E+01    0.252E+01    0.383E+00                            
    9     0.278E+01    0.265E+01    0.788E-01                            
   10     0.273E+01    0.278E+01   -0.284E-01                            
   11     0.286E+01    0.292E+01   -0.364E-01                            
   12     0.329E+01    0.308E+01    0.119E+00                            
   13     0.273E+01    0.323E+01   -0.302E+00                            
   14     0.325E+01    0.340E+01   -0.850E-01                            
   15     0.346E+01    0.358E+01   -0.623E-01                            
   16     0.316E+01    0.376E+01   -0.338E+00                            
   17     0.312E+01    0.396E+01   -0.475E+00                            
   18     0.367E+01    0.417E+01   -0.256E+00                            
   19     0.380E+01    0.438E+01   -0.297E+00                            
   20     0.402E+01    0.461E+01   -0.296E+00                            
   21     0.380E+01    0.485E+01   -0.537E+00                            
   22     0.414E+01    0.510E+01   -0.470E+00                            
   23     0.410E+01    0.536E+01   -0.623E+00                            
   24     0.462E+01    0.564E+01   -0.477E+00                            
   25     0.444E+01    0.593E+01   -0.704E+00                            
   26     0.496E+01    0.623E+01   -0.572E+00                            
   27     0.474E+01    0.654E+01   -0.827E+00                            
   28     0.543E+01    0.687E+01   -0.620E+00                            
   29     0.538E+01    0.721E+01   -0.787E+00                            
   30     0.573E+01    0.756E+01   -0.768E+00                            
   31     0.564E+01    0.793E+01   -0.963E+00                            
   32     0.586E+01    0.830E+01   -0.101E+01                            
   33     0.705E+01    0.869E+01   -0.617E+00                            
   34     0.679E+01    0.909E+01   -0.879E+00                            
   35     0.641E+01    0.949E+01   -0.122E+01                            
   36     0.722E+01    0.991E+01   -0.999E+00                            
   37     0.637E+01    0.103E+02   -0.157E+01                            
   38     0.872E+01    0.108E+02   -0.689E+00                            
   39     0.778E+01    0.112E+02   -0.122E+01                            
   40     0.872E+01    0.116E+02   -0.979E+00                            
   41     0.944E+01    0.120E+02   -0.844E+00                            
   42     0.868E+01    0.125E+02   -0.129E+01                            
   43     0.838E+01    0.129E+02   -0.156E+01                            
   44     0.949E+01    0.133E+02   -0.124E+01                            
   45     0.979E+01    0.137E+02   -0.125E+01                            
   46     0.103E+02    0.141E+02   -0.120E+01                            
   47     0.104E+02    0.145E+02   -0.125E+01                            
   48     0.118E+02    0.148E+02   -0.871E+00                            
   49     0.143E+02    0.152E+02   -0.240E+00                            
   50     0.129E+02    0.155E+02   -0.713E+00                            
   51     0.132E+02    0.158E+02   -0.722E+00                            
   52     0.125E+02    0.161E+02   -0.103E+01                            
   53     0.132E+02    0.164E+02   -0.894E+00                            
   54     0.143E+02    0.167E+02   -0.622E+00                            
   55     0.163E+02    0.169E+02   -0.159E+00                            
   56     0.148E+02    0.172E+02   -0.619E+00                            
   57     0.146E+02    0.174E+02   -0.728E+00                            
   58     0.162E+02    0.176E+02   -0.366E+00                            
   59     0.176E+02    0.178E+02   -0.472E-01                            
   60     0.174E+02    0.181E+02   -0.152E+00                            
   61     0.184E+02    0.183E+02    0.296E-01                            
   62     0.185E+02    0.185E+02   -0.125E-01                            
   63     0.199E+02    0.187E+02    0.263E+00                            
   64     0.192E+02    0.190E+02    0.589E-01                            
   65     0.193E+02    0.192E+02    0.156E-01                            
   66     0.205E+02    0.194E+02    0.237E+00                            
   67     0.201E+02    0.197E+02    0.914E-01                            
   68     0.208E+02    0.199E+02    0.198E+00                            
   69     0.210E+02    0.201E+02    0.194E+00                            
   70     0.195E+02    0.204E+02   -0.187E+00                            
   71     0.214E+02    0.206E+02    0.174E+00                            
   72     0.208E+02    0.208E+02    0.203E-02                            
   73     0.218E+02    0.209E+02    0.175E+00                            
   74     0.207E+02    0.211E+02   -0.796E-01                            
   75     0.226E+02    0.212E+02    0.302E+00                            
   76     0.220E+02    0.213E+02    0.141E+00                            
   77     0.208E+02    0.214E+02   -0.130E+00                            
   78     0.209E+02    0.214E+02   -0.104E+00                            
   79     0.217E+02    0.213E+02    0.805E-01                            
   80     0.185E+02    0.212E+02   -0.636E+00                            
   81     0.202E+02    0.211E+02   -0.203E+00                            
   82     0.192E+02    0.209E+02   -0.371E+00                            
   83     0.187E+02    0.206E+02   -0.425E+00                            
   84     0.182E+02    0.202E+02   -0.450E+00                            
   85     0.170E+02    0.197E+02   -0.652E+00                            
   86     0.164E+02    0.191E+02   -0.684E+00                            
   87     0.155E+02    0.185E+02   -0.757E+00                            
   88     0.154E+02    0.178E+02   -0.593E+00                            
   89     0.160E+02    0.169E+02   -0.238E+00                            
   90     0.149E+02    0.160E+02   -0.294E+00                            
   91     0.143E+02    0.151E+02   -0.213E+00                            
   92     0.129E+02    0.142E+02   -0.359E+00                            
   93     0.146E+02    0.133E+02    0.340E+00                            
   94     0.131E+02    0.125E+02    0.159E+00                            
   95     0.125E+02    0.120E+02    0.158E+00                            
   96     0.139E+02    0.116E+02    0.602E+00                            
   97     0.127E+02    0.117E+02    0.296E+00                            
   98     0.130E+02    0.121E+02    0.257E+00                            
   99     0.145E+02    0.130E+02    0.402E+00                            
  100     0.150E+02    0.142E+02    0.216E+00                            
  101     0.149E+02    0.158E+02   -0.219E+00                            
  102     0.163E+02    0.175E+02   -0.286E+00                            
  103     0.161E+02    0.192E+02   -0.762E+00                            
  104     0.173E+02    0.206E+02   -0.793E+00                            
  105     0.183E+02    0.216E+02   -0.759E+00                            
  106     0.182E+02    0.219E+02   -0.871E+00                            
  107     0.187E+02    0.215E+02   -0.661E+00                            
  108     0.181E+02    0.204E+02   -0.547E+00                            
  109     0.174E+02    0.186E+02   -0.286E+00                            
  110     0.168E+02    0.164E+02    0.104E+00                            
